Handle,Title,Body(HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
Val-Pak Products V38-136,V38-136 - Val-Pak American Skimmer Float - R38013B,,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,R38013B,,,,,VAL_V38-136,,shopify,10,deny,manual,9.99,,True,,811636022744,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-136.jpg,Val-Pak Products V38-136,,,,,,V38-136 - Val-Pak American Skimmer Float - R38013B,V38-136 - Val-Pak American Skimmer Float - R38013B         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V38-099,V38-099 - Val-Pak American Brass Diverter (Vari-Flo) - 850025,,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,850025,,,,,VAL_V38-099,,shopify,10,deny,manual,9.99,,True,,811636022430,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-099.jpg,Val-Pak Products V38-099,,,,,,V38-099 - Val-Pak American Brass Diverter (Vari-Flo) - 850025,V38-099 - Val-Pak American Brass Diverter (Vari-Flo) - 850025         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V50-115T,"V50-115T - Val-Pak American Skimmer Lid (Tan, 9 1/8"" diameter) - 85007430",,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,85007430,,,,,VAL_V50-115T,,shopify,10,deny,manual,9.99,,True,,811636024120,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V50-115T.jpg,Val-Pak Products V50-115T,,,,,,"V50-115T - Val-Pak American Skimmer Lid (Tan, 9 1/8"" diameter) - 85007430","V50-115T - Val-Pak American Skimmer Lid (Tan, 9 1/8"" diameter) - 85007430         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V50-115G,"V50-115G - Val-Pak American Skimmer Lid (Gray, 9 1/8"" diameter) - 85007413",,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,85007413,,,,,VAL_V50-115G,,shopify,10,deny,manual,9.99,,True,,811636024106,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V50-115G.jpg,Val-Pak Products V50-115G,,,,,,"V50-115G - Val-Pak American Skimmer Lid (Gray, 9 1/8"" diameter) - 85007413","V50-115G - Val-Pak American Skimmer Lid (Gray, 9 1/8"" diameter) - 85007413         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V38-101,V38-101 - Val-Pak American Commercial Diverter,,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,N/A,,,,,VAL_V38-101,,shopify,10,deny,manual,9.99,,True,,811636022454,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-101.jpg,Val-Pak Products V38-101,,,,,,V38-101 - Val-Pak American Commercial Diverter,V38-101 - Val-Pak American Commercial Diverter         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V50-350-1,V50-350-1 - Val-Pak American Throttling Plug O-Ring,,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,N/A,,,,,VAL_V50-350-1,,shopify,10,deny,manual,9.99,,True,,811636024618,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V50-350-1.jpg,Val-Pak Products V50-350-1,,,,,,V50-350-1 - Val-Pak American Throttling Plug O-Ring,V50-350-1 - Val-Pak American Throttling Plug O-Ring         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V50-115GR,"V50-115GR - Val-Pak American Skimmer Lid (Green, 9 1/8"" diameter)",,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,N/A,,,,,VAL_V50-115GR,,shopify,10,deny,manual,9.99,,True,,811636024601,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V50-115GR.jpg,Val-Pak Products V50-115GR,,,,,,"V50-115GR - Val-Pak American Skimmer Lid (Green, 9 1/8"" diameter)","V50-115GR - Val-Pak American Skimmer Lid (Green, 9 1/8"" diameter)         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V38-135,V38-135 - Val-Pak American Skimmer Basket - R38013A,,Val-Pak Products,Filters,"filter,skimmer,basket,american products,part",True,OEM,R38013A,,,,,VAL_V38-135,,shopify,10,deny,manual,9.99,,True,,811636020061,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-135.jpg,Val-Pak Products V38-135,,,,,,V38-135 - Val-Pak American Skimmer Basket - R38013A,V38-135 - Val-Pak American Skimmer Basket - R38013A         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-386,"V20-386 - Val-Pak American Products Return Fitting (White, 1/2"") - 540014",,Val-Pak Products,Filters,"filter,spa,american products,part",True,OEM,540014,,,,,VAL_V20-386,,shopify,10,deny,manual,9.99,,True,,811636024625,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-386.jpg,Val-Pak Products V20-386,,,,,,"V20-386 - Val-Pak American Products Return Fitting (White, 1/2"") - 540014","V20-386 - Val-Pak American Products Return Fitting (White, 1/2"") - 540014         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V50-350,"V50-350 - Val-Pak American Throttling Plug with O-Ring (1 1/2"")",,Val-Pak Products,Filters,"filter,skimmer,american products,part",True,OEM,N/A,,,,,VAL_V50-350,,shopify,10,deny,manual,9.99,,True,,811636024199,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V50-350.jpg,Val-Pak Products V50-350,,,,,,"V50-350 - Val-Pak American Throttling Plug with O-Ring (1 1/2"")","V50-350 - Val-Pak American Throttling Plug with O-Ring (1 1/2"")         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V38-185,V38-185 - Val-Pak Ultra Flow Pump Basket - 39303500,,Val-Pak Products,Skimmers,"skimmer,pump,basket,ultra flow,part",True,OEM,39303500,,,,,VAL_V38-185,,shopify,10,deny,manual,9.99,,True,,811636023000,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V38-185.jpg,Val-Pak Products V38-185,,,,,,V38-185 - Val-Pak Ultra Flow Pump Basket - 39303500,V38-185 - Val-Pak Ultra Flow Pump Basket - 39303500         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
